league,season,game,team,player,league_id,season_id,game_id,team_id,player_id,position,position_id,minutes,goals,own_goals,shots,xg,xg_chain,xg_buildup,assists,xa,key_passes,yellow_cards,red_cards
ENG-Premier League,1617,2016-08-13 Everton-Tottenham,Tottenham,Kyle Walker,1,2016,463,82,638,DR,2,90,0,0,1,0.029841700568795204,0.22683100402355194,0.11670699715614319,1,0.1919340044260025,3,0,0
ENG-Premier League,1617,2016-08-13 Everton-Tottenham,Tottenham,Michel Vorm,1,2016,463,82,651,Sub,17,56,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Everton-Tottenham,Tottenham,Toby Alderweireld,1,2016,463,82,639,DC,3,90,0,0,1,0.04318990185856819,0.12537699937820435,0.12537699937820435,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Everton-Tottenham,Tottenham,Victor Wanyama,1,2016,463,82,836,DMC,7,90,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Everton-Tottenham,Tottenham,Vincent Janssen,1,2016,463,82,1730,Sub,17,33,0,0,2,0.5949159860610962,0.06952700018882751,0.0,0,0.039559900760650635,1,0,0
ENG-Premier League,1617,2016-08-13 Hull-Leicester,Hull,Abel Hernández,1,2016,461,91,1698,FW,15,90,0,0,3,0.2296620011329651,0.10169699788093567,0.0,1,0.14253799617290497,1,0,0
ENG-Premier League,1617,2016-08-13 Hull-Leicester,Hull,Adama Diomande,1,2016,461,91,1694,FWL,16,90,1,0,2,0.16420799493789673,0.037240199744701385,0.0,0,0.015569999814033508,1,0,0
ENG-Premier League,1617,2016-08-13 Hull-Leicester,Hull,Ahmed Elmohamady,1,2016,461,91,1685,DR,2,90,0,0,0,0.0,0.06104949861764908,0.0393792986869812,0,0.021670199930667877,1,0,0
ENG-Premier League,1617,2016-08-13 Hull-Leicester,Hull,Andrew Robertson,1,2016,461,91,1688,DL,4,90,0,0,0,0.0,0.06231750175356865,0.06231750175356865,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Hull-Leicester,Hull,Curtis Davies,1,2016,461,91,1686,DC,3,90,0,0,2,0.05041319876909256,0.0,0.0,0,0.0,0,1,0
ENG-Premier League,1617,2016-08-13 Hull-Leicester,Hull,David Meyler,1,2016,461,91,1693,MC,9,90,0,0,1,0.015714799985289574,0.015714799985289574,0.0,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Hull-Leicester,Hull,Eldin Jakupovic,1,2016,461,91,1697,GK,1,90,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Hull-Leicester,Hull,Jake Livermore,1,2016,461,91,1689,DC,3,90,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Hull-Leicester,Hull,Robert Snodgrass,1,2016,461,91,1691,FWR,14,90,1,0,5,0.2601040005683899,0.09462679922580719,0.0,0,0.05041319876909256,2,0,0
ENG-Premier League,1617,2016-08-13 Hull-Leicester,Hull,Sam Clucas,1,2016,461,91,1690,MC,9,90,0,0,0,0.0,0.0,0.0,0,0.0,0,1,0
ENG-Premier League,1617,2016-08-13 Hull-Leicester,Hull,Tom Huddlestone,1,2016,461,91,1695,MC,9,90,0,0,1,0.03815549984574318,0.0,0.0,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Hull-Leicester,Leicester,Ahmed Musa,1,2016,461,75,1681,FW,15,90,0,0,2,0.05047459900379181,1.161929965019226,0.13708800077438354,0,0.9743710160255432,4,0,0
ENG-Premier League,1617,2016-08-13 Hull-Leicester,Leicester,Andy King,1,2016,461,75,784,MC,9,70,0,0,0,0.0,0.4425620138645172,0.4425620138645172,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Hull-Leicester,Leicester,Christian Fuchs,1,2016,461,75,749,DL,4,90,0,0,1,0.4425620138645172,0.5585929751396179,0.5241150259971619,0,0.03447730094194412,1,1,0
ENG-Premier League,1617,2016-08-13 Hull-Leicester,Leicester,Daniel Amartey,1,2016,461,75,759,Sub,17,20,0,0,0,0.0,0.0306560005992651,0.0,0,0.0306560005992651,1,0,0
ENG-Premier League,1617,2016-08-13 Hull-Leicester,Leicester,Daniel Drinkwater,1,2016,461,75,752,MC,9,90,0,0,3,0.1191129982471466,0.62950199842453,0.510388970375061,0,0.010190299712121487,1,0,0
