,,,,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Brentford,Nathan Collins,IRL,DF,22,2001,29.5,38,20,24,12,2,19,29,65.5,10,46,30,16,44,82,141,4
ENG-Premier League,2324,Brentford,Neal Maupay,FRA,FW,26,1996,14.7,10,7,4,5,1,3,13,23.1,10,11,0,11,2,12,3,0
ENG-Premier League,2324,Brentford,Rico Henry,ENG,DF,26,1997,4.5,7,5,3,3,1,6,7,85.7,1,8,3,5,5,12,5,1
ENG-Premier League,2324,Brentford,Saman Ghoddos,IRN,DF,29,1993,8.2,28,19,19,7,2,17,31,54.8,14,9,2,7,5,33,12,0
ENG-Premier League,2324,Brentford,Sergio Reguilón,ESP,DF,26,1996,12.4,45,20,26,18,1,24,40,60.0,16,23,6,17,16,61,41,1
ENG-Premier League,2324,Brentford,Shandon Baptiste,GRN,MF,25,1998,2.5,4,4,2,2,0,1,5,20.0,4,5,1,4,3,7,6,0
ENG-Premier League,2324,Brentford,Thomas Strakosha,ALB,GK,28,1995,1.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Brentford,Vitaly Janelt,GER,"MF,DF",25,1998,33.9,63,38,29,25,9,32,64,50.0,32,35,9,26,36,99,64,3
ENG-Premier League,2324,Brentford,Yehor Yarmoliuk,UKR,MF,19,2004,7.6,17,11,6,8,3,7,17,41.2,10,17,4,13,6,23,5,0
ENG-Premier League,2324,Brentford,Yoane Wissa,COD,FW,26,1996,27.7,28,16,13,10,5,5,20,25.0,15,24,3,21,9,37,15,0
ENG-Premier League,2324,Brighton,Adam Lallana,ENG,"MF,FW",35,1988,9.4,8,3,4,4,0,0,4,0.0,4,2,1,1,3,11,1,0
ENG-Premier League,2324,Brighton,Adam Webster,ENG,DF,28,1995,12.7,14,12,8,5,1,6,18,33.3,12,16,12,4,16,30,43,1
ENG-Premier League,2324,Brighton,Ansu Fati,ESP,"MF,FW",20,2002,5.8,5,3,1,2,2,1,11,9.1,10,8,0,8,3,8,3,0
ENG-Premier League,2324,Brighton,Bart Verbruggen,NED,GK,20,2002,21.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,11,3
ENG-Premier League,2324,Brighton,Benicio Boaitey,ENG,"FW,DF",19,2004,0.4,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0
ENG-Premier League,2324,Brighton,Billy Gilmour,SCO,MF,22,2001,23.6,26,16,14,10,2,11,35,31.4,24,23,9,14,11,37,14,1
