join_key,match_id,date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,season,Match,home_team_shortened,referee,matchday
2024-04-14_West,22224,2024-04-14,West Ham,Fulham,0,2,1.45307,3.61413,2023,West Ham v Fulham,West,Stuart Attwell,33
2024-04-14_Arsenal,22216,2024-04-14,Arsenal,Aston Villa,0,2,1.89003,0.929049,2023,Arsenal v Aston Villa,Arsenal,David Coote,33
2024-04-15_Chelsea,22219,2024-04-15,Chelsea,Everton,6,0,3.37093,1.21791,2023,Chelsea v Everton,Chelsea,Paul Tierney,33
2024-04-20_Luton,22230,2024-04-20,Luton,Brentford,1,5,0.497799,3.7809,2023,Luton v Brentford,Luton,Jarred Gillett,34
2024-04-20_Sheffield,22232,2024-04-20,Sheffield United,Burnley,1,4,1.97816,2.42338,2023,Sheffield United v Burnley,Sheffield,Andy Madley,34
2024-04-20_Wolverhampton,22234,2024-04-20,Wolverhampton Wanderers,Arsenal,0,2,0.164516,1.66179,2023,Wolverhampton Wanderers v Arsenal,Wolverhampton,Paul Tierney,34
2024-04-21_Everton,22228,2024-04-21,Everton,Nottingham Forest,2,0,0.473233,1.18916,2023,Everton v Nottingham Forest,Everton,Anthony Taylor,34
2024-04-21_Aston,22225,2024-04-21,Aston Villa,Bournemouth,3,1,2.62687,2.05211,2023,Aston Villa v Bournemouth,Aston,Tim Robinson,34
2024-04-21_Crystal,22227,2024-04-21,Crystal Palace,West Ham,5,2,3.7185,1.34536,2023,Crystal Palace v West Ham,Crystal,Graham Scott,34
2024-04-21_Fulham,22229,2024-04-21,Fulham,Liverpool,1,3,0.83885,1.02445,2023,Fulham v Liverpool,Fulham,Craig Pawson,34
2024-04-23_Arsenal,22175,2024-04-23,Arsenal,Chelsea,5,0,3.45858,1.60343,2023,Arsenal v Chelsea,Arsenal,Simon Hooper,29
